term,estimate,std.error,statistic,p.value,conf.low,conf.high,city,lag,pct,pct_low,pct_high,n_obs,city_key,city_order,panel_row,panel_col,significant_05,effect_direction
post6,-1.582119921047212,0.8409978078774789,-1.8812414327692324,0.0599390839375925,-3.230445335564206,0.066205493469782,Detroit,6,-79.44610902351205,-96.0460113650629,6.844625333646981,71227,detroit,23,5,3,False,not_significant
post7,-1.8698019935009773,0.6589132748267079,-2.8377057572451085,0.0045439049490175,-3.161248281096668,-0.5783557059052877,Detroit,7,-84.58458176766463,-95.7627185129825,-43.918023854232345,71227,detroit,23,5,3,True,significant_suppression
post8,-1.1766548129408512,0.258635198649396,-4.549476711156843,5.377948527220775e-06,-1.6835704874280295,-0.6697391384536726,Detroit,8,-69.16916353532368,-81.4290283328404,-48.81579197105095,71227,detroit,23,5,3,True,significant_suppression
post9,-1.176654812940817,0.6254485461916678,-1.8812975425483407,0.0599314551318016,-2.402511437659422,0.0492018117777879,Detroit,9,-69.16916353532261,-90.95095933406752,5.043231896420264,71227,detroit,23,5,3,False,not_significant
post10,-1.358976369734157,0.5028425095378359,-2.702588472448752,0.0068801871423271,-2.344529578324054,-0.3734231611442602,Detroit,10,-74.30763627941973,-90.41076986610494,-31.1626121874641,71227,detroit,23,5,3,True,significant_suppression
post11,-2.2752671016087467,0.8409978078772975,-2.705437612675336,0.0068214460179094,-3.923592516125385,-0.6269416870921083,Detroit,11,-89.72305451177236,-98.02300568253388,-46.577687333280416,71227,detroit,23,5,3,True,significant_suppression
post12,-11.932614134619346,0.0014641869241904,-8149.6521635834,0.0,-11.935483888257394,-11.929744380981298,Detroit,12,-99.99934274858973,-99.99934463203554,-99.9993408597311,71227,detroit,23,5,3,True,significant_suppression
post1,0.2339730660827335,0.0318491726139028,7.346283965336026,2.0379318255218638e-13,0.1715498348220846,0.2963962973433824,Fort Worth,1,26.36104577699128,18.714330233343237,34.500307237299424,131496,fortworth,24,5,4,True,significant_enhancement
post2,0.4695248352714556,0.0205969683137627,22.795822575389483,5.044196608171506e-115,0.4291555191857679,0.5098941513571434,Fort Worth,2,59.92341130068222,53.59598870547895,66.51149354615184,131496,fortworth,24,5,4,True,significant_enhancement
post3,0.2724778305461612,0.036105867708761,7.546635708745068,4.46645640541672e-14,0.201711630206422,0.3432440308859005,Fort Worth,3,31.32143453449636,22.3495138194846,40.95126845899764,131496,fortworth,24,5,4,True,significant_enhancement
post4,0.2435162312715855,0.0479179145434773,5.081945522704999,3.735885681047322e-07,0.1495988445521018,0.3374336179910692,Fort Worth,4,27.57270243444183,16.13682600642492,40.13465811030763,131496,fortworth,24,5,4,True,significant_enhancement
post5,0.1064358932880875,0.0418940047233619,2.540599639278082,0.0110662556918726,0.0243251528621473,0.1885466337140278,Fort Worth,5,11.230661784012064,2.462342297125386,20.749339157517863,131496,fortworth,24,5,4,True,significant_enhancement
post6,0.2091250720483346,0.0394918623841266,5.295396555731697,1.1875840695729243e-07,0.1317224440930342,0.286527700003635,Fort Worth,6,23.25991525906619,14.079164186260984,33.17950581112281,131496,fortworth,24,5,4,True,significant_enhancement
