"model_id","city","activity_type","row_exposure","col_exposure","covariance"
"New_York__all","New_York","all",2,4,0.00394479954656076
"New_York__all","New_York","all",4,4,0.0069914507288522
"New_York__all","New_York","all",6,4,0.00824180442109636
"New_York__all","New_York","all",2,6,0.00460078406600721
"New_York__all","New_York","all",4,6,0.00824180442109636
"New_York__all","New_York","all",6,6,0.00996329754472655
"Newark__all","Newark","all",2,2,3.89089775750521
"Newark__all","Newark","all",4,2,6.25556501393108
"Newark__all","Newark","all",6,2,5.56777240497816
"Newark__all","Newark","all",2,4,6.25556501393108
"Newark__all","Newark","all",4,4,10.1409148070721
"Newark__all","Newark","all",6,4,9.28583324920943
"Newark__all","Newark","all",2,6,5.56777240497816
"Newark__all","Newark","all",4,6,9.28583324920943
"Newark__all","Newark","all",6,6,9.30447119930308
"Oklahoma_City__all","Oklahoma_City","all",2,2,0.000436732338169491
"Oklahoma_City__all","Oklahoma_City","all",4,2,0.000845052587476731
"Oklahoma_City__all","Oklahoma_City","all",6,2,0.00119654915905898
"Oklahoma_City__all","Oklahoma_City","all",2,4,0.000845052587476731
"Oklahoma_City__all","Oklahoma_City","all",4,4,0.00163554536702127
"Oklahoma_City__all","Oklahoma_City","all",6,4,0.00231691813070044
"Oklahoma_City__all","Oklahoma_City","all",2,6,0.00119654915905898
"Oklahoma_City__all","Oklahoma_City","all",4,6,0.00231691813070044
"Oklahoma_City__all","Oklahoma_City","all",6,6,0.00328492682750544
"Orlando__all","Orlando","all",2,2,0.029692587802004
"Orlando__all","Orlando","all",4,2,0.0390584769360987
"Orlando__all","Orlando","all",6,2,0.0210148870202449
"Orlando__all","Orlando","all",2,4,0.0390584769360987
"Orlando__all","Orlando","all",4,4,0.0551470923808541
"Orlando__all","Orlando","all",6,4,0.0392604295335482
"Orlando__all","Orlando","all",2,6,0.0210148870202449
"Orlando__all","Orlando","all",4,6,0.0392604295335482
"Orlando__all","Orlando","all",6,6,0.0507374655919639
"Overland_Park__all","Overland_Park","all",2,2,0.00224485500401636
"Overland_Park__all","Overland_Park","all",4,2,0.00400788095748669
"Overland_Park__all","Overland_Park","all",6,2,0.00480754141903763
"Overland_Park__all","Overland_Park","all",2,4,0.00400788095748669
"Overland_Park__all","Overland_Park","all",4,4,0.00720588953334423
"Overland_Park__all","Overland_Park","all",6,4,0.00878463090548511
"Overland_Park__all","Overland_Park","all",2,6,0.00480754141903763
"Overland_Park__all","Overland_Park","all",4,6,0.00878463090548511
"Overland_Park__all","Overland_Park","all",6,6,0.0111012723260751
"Palm_Bay__all","Palm_Bay","all",2,2,0.712123950961394
"Palm_Bay__all","Palm_Bay","all",4,2,-0.407634185443738
"Palm_Bay__all","Palm_Bay","all",6,2,-2.50671843017711
"Palm_Bay__all","Palm_Bay","all",2,4,-0.407634185443738
"Palm_Bay__all","Palm_Bay","all",4,4,2.15240188303972
"Palm_Bay__all","Palm_Bay","all",6,4,6.03450257226893
"Palm_Bay__all","Palm_Bay","all",2,6,-2.50671843017711
"Palm_Bay__all","Palm_Bay","all",4,6,6.03450257226893
"Palm_Bay__all","Palm_Bay","all",6,6,19.8517435725834
"Philadelphia__all","Philadelphia","all",2,2,0.013504549588829
"Philadelphia__all","Philadelphia","all",4,2,0.0220815350145351
"Philadelphia__all","Philadelphia","all",6,2,0.0208033962588149
"Philadelphia__all","Philadelphia","all",2,4,0.0220815350145351
"Philadelphia__all","Philadelphia","all",4,4,0.0362278831370694
"Philadelphia__all","Philadelphia","all",6,4,0.0345038541597461
"Philadelphia__all","Philadelphia","all",2,6,0.0208033962588149
"Philadelphia__all","Philadelphia","all",4,6,0.0345038541597461
"Philadelphia__all","Philadelphia","all",6,6,0.0339984361738737
"Phoenix__all","Phoenix","all",2,2,0.00172458908957203
"Phoenix__all","Phoenix","all",4,2,0.00283880714904749
"Phoenix__all","Phoenix","all",6,2,0.00280436536064912
"Phoenix__all","Phoenix","all",2,4,0.00283880714904749
"Phoenix__all","Phoenix","all",4,4,0.0047157167802969
"Phoenix__all","Phoenix","all",6,4,0.00478159348925632
"Phoenix__all","Phoenix","all",2,6,0.00280436536064912
"Phoenix__all","Phoenix","all",4,6,0.00478159348925632
"Phoenix__all","Phoenix","all",6,6,0.0051990121039001
