"model_id","city","activity_type","exposure","log_rr"
"Houston__ride","Houston","ride",4,0.0169121099269645
"Houston__ride","Houston","ride",6,0.00901665252021677
"Indianapolis__ride","Indianapolis","ride",2,-0.172406408925329
"Indianapolis__ride","Indianapolis","ride",4,-0.169938728891441
"Indianapolis__ride","Indianapolis","ride",6,0.182277129060873
"Jacksonville__ride","Jacksonville","ride",2,0.216863434232568
"Jacksonville__ride","Jacksonville","ride",4,0.372868251351491
"Jacksonville__ride","Jacksonville","ride",6,0.439990534473857
"Kansas_City__ride","Kansas_City","ride",2,-0.102289199087933
"Kansas_City__ride","Kansas_City","ride",4,-0.200244342653529
"Kansas_City__ride","Kansas_City","ride",6,-0.289532852078567
"Las_Vegas__ride","Las_Vegas","ride",2,-0.0901895233085979
"Las_Vegas__ride","Las_Vegas","ride",4,-0.147148565988857
"Las_Vegas__ride","Las_Vegas","ride",6,-0.137809146226837
"Los_Angeles__ride","Los_Angeles","ride",2,0.0581252862600145
"Los_Angeles__ride","Los_Angeles","ride",4,0.108631777604874
"Los_Angeles__ride","Los_Angeles","ride",6,0.143900679119424
"Louisville__ride","Louisville","ride",2,-0.547486673794946
"Louisville__ride","Louisville","ride",4,-0.819679358706919
"Louisville__ride","Louisville","ride",6,-0.541284065852942
"Lubbock__ride","Lubbock","ride",2,-0.577111810509519
"Lubbock__ride","Lubbock","ride",4,-1.09861823919996
"Lubbock__ride","Lubbock","ride",6,-1.50891390425224
"Mesa__ride","Mesa","ride",2,0.00595392662714733
"Mesa__ride","Mesa","ride",4,-0.0459155008265248
"Mesa__ride","Mesa","ride",6,-0.209814645324009
"Miami__ride","Miami","ride",2,-0.468986513033826
"Miami__ride","Miami","ride",4,-45.3877599068948
"Miami__ride","Miami","ride",6,-335.087431056006
"Milwaukee__ride","Milwaukee","ride",2,-0.171221133527183
"Milwaukee__ride","Milwaukee","ride",4,-0.269137911715842
"Milwaukee__ride","Milwaukee","ride",6,-0.22044597922745
"Minneapolis__ride","Minneapolis","ride",2,4.39423478016027
"Minneapolis__ride","Minneapolis","ride",4,7.72347579082098
"Minneapolis__ride","Minneapolis","ride",6,8.92272926248254
"Miramar__ride","Miramar","ride",2,0.501936023960542
"Miramar__ride","Miramar","ride",4,-3.96639901680387
"Miramar__ride","Miramar","ride",6,-3.41230533040382
"Nashville__ride","Nashville","ride",2,-0.101748606335259
"Nashville__ride","Nashville","ride",4,-0.159793828706023
"Nashville__ride","Nashville","ride",6,-0.131183938933149
"New_York__ride","New_York","ride",2,-0.11366108700156
"New_York__ride","New_York","ride",4,-0.207450983604657
"New_York__ride","New_York","ride",6,-0.261498499410825
"Newark__ride","Newark","ride",2,-193.887860619013
"Newark__ride","Newark","ride",4,-357.410436627893
"Newark__ride","Newark","ride",6,-460.202443416506
"Oklahoma_City__ride","Oklahoma_City","ride",2,-0.123616387525061
"Oklahoma_City__ride","Oklahoma_City","ride",4,-0.232209337231296
"Oklahoma_City__ride","Oklahoma_City","ride",6,-0.310755411299894
"Orlando__ride","Orlando","ride",2,0.0835385460386404
"Orlando__ride","Orlando","ride",4,0.176292752024873
"Orlando__ride","Orlando","ride",6,0.268285352856305
"Overland_Park__ride","Overland_Park","ride",2,-0.0944366850602423
"Overland_Park__ride","Overland_Park","ride",4,-0.162297354773422
"Overland_Park__ride","Overland_Park","ride",6,-0.177025308389377
"Palm_Bay__ride","Palm_Bay","ride",2,0.501861732089688
"Palm_Bay__ride","Palm_Bay","ride",4,-0.93680453536894
"Palm_Bay__ride","Palm_Bay","ride",6,-3.29735355282639
"Philadelphia__ride","Philadelphia","ride",2,-0.167221781180878
"Philadelphia__ride","Philadelphia","ride",4,-0.295627449461464
"Philadelphia__ride","Philadelphia","ride",6,-0.346400891941463
"Phoenix__ride","Phoenix","ride",2,-0.0746742672929137
"Phoenix__ride","Phoenix","ride",4,-0.123723779253562
"Phoenix__ride","Phoenix","ride",6,-0.124608754474009
"Raleigh__ride","Raleigh","ride",2,-0.0175939772065164
"Raleigh__ride","Raleigh","ride",4,-0.0653291621211558
"Raleigh__ride","Raleigh","ride",6,-0.171179627541749
"Richmond__ride","Richmond","ride",2,0.592408005016952
"Richmond__ride","Richmond","ride",4,0.926695536760732
"Richmond__ride","Richmond","ride",6,0.744742121958172
"Riverside__ride","Riverside","ride",2,0.0169286609677606
"Riverside__ride","Riverside","ride",4,0.0591081764132904
"Riverside__ride","Riverside","ride",6,0.15178940081436
"Sacramento__ride","Sacramento","ride",2,-1.76478277983221
"Sacramento__ride","Sacramento","ride",4,-3.41111599244202
"Sacramento__ride","Sacramento","ride",6,-4.82055007060704
"San_Antonio__ride","San_Antonio","ride",2,-0.0460419719810428
"San_Antonio__ride","San_Antonio","ride",4,-0.0790301896272302
"San_Antonio__ride","San_Antonio","ride",6,-0.0889326353269464
"San_Bernardino__ride","San_Bernardino","ride",2,-1.20561216990023
"San_Bernardino__ride","San_Bernardino","ride",4,-2.07339967185618
"San_Bernardino__ride","San_Bernardino","ride",6,-2.26553783792357
"San_Jose__ride","San_Jose","ride",2,0.106655165089912
"San_Jose__ride","San_Jose","ride",4,0.208237118446888
"San_Jose__ride","San_Jose","ride",6,0.299672648337994
"Scottsdale__ride","Scottsdale","ride",2,-0.192126948384796
"Scottsdale__ride","Scottsdale","ride",4,-0.32800497278469
"Scottsdale__ride","Scottsdale","ride",6,-0.355549580535206
"St_Louis__ride","St_Louis","ride",2,-0.404746141612937
"St_Louis__ride","St_Louis","ride",4,-0.734454669833992
"St_Louis__ride","St_Louis","ride",6,-0.915239257760367
"St_Petersburg__ride","St_Petersburg","ride",2,0.456011504855432
"St_Petersburg__ride","St_Petersburg","ride",4,0.548348348597735
"St_Petersburg__ride","St_Petersburg","ride",6,0.337699140039262
"Tallahassee__ride","Tallahassee","ride",2,0.28482796723503
"Tallahassee__ride","Tallahassee","ride",4,-0.0787645692407576
"Tallahassee__ride","Tallahassee","ride",6,-0.984694033209163
"Tampa__ride","Tampa","ride",2,-0.184722263916707
"Tampa__ride","Tampa","ride",4,-0.12739750771723
"Tampa__ride","Tampa","ride",6,0.203672319812065
"Tucson__ride","Tucson","ride",2,-0.0318934665905794
"Tucson__ride","Tucson","ride",4,-0.0609213565158397
"Tucson__ride","Tucson","ride",6,-0.0844913656921966
"Virginia_Beach__ride","Virginia_Beach","ride",2,-0.146879948166213
"Virginia_Beach__ride","Virginia_Beach","ride",4,-0.283356760935552
"Virginia_Beach__ride","Virginia_Beach","ride",6,-0.402799953075385
"Visalia__ride","Visalia","ride",2,-0.217011020494953
"Visalia__ride","Visalia","ride",4,-0.421075078783925
