city,cluster,is_outlier,beta_max_abs,outlier_assigned_by,peak_lag,peak_val,early_auc,late_auc,ratio_early_late,monotone,decay_slope,n_sig,beta_lag1,pval_lag1,beta_lag2,pval_lag2,beta_lag3,pval_lag3,beta_lag4,pval_lag4,beta_lag5,pval_lag5,beta_lag6,pval_lag6,beta_lag7,pval_lag7,beta_lag8,pval_lag8,beta_lag9,pval_lag9,beta_lag10,pval_lag10,beta_lag11,pval_lag11,beta_lag12,pval_lag12
Los Angeles,2,0,1.1512655574675774,,8.0,0.8903742903712821,2.8504906143321733,3.560974492131386,0.8835659518151452,-1.0,0.006668969176443935,12.0,1.018628976598316,3.3683033098018754e-19,0.964388184138061,0.00021421294000110173,0.5859517484178949,7.003966397673843e-29,0.6629127895539823,7.950918967958703e-06,0.8328118263493357,1.0722967279413762e-13,0.9366086200310426,2.9123574909721004e-37,0.9080352475870176,6.613116159507799e-19,1.1512655574675774,1.9507462626227286e-07,1.092769350786062,4.0989780067974356e-11,0.801063128034691,9.769466660808529e-07,0.7848026071627117,7.796600352188247e-08,0.922423985039448,7.471356784383295e-20
Louisville,4,0,2.29333333520152,,8.0,-2.29333333520152,-10.24807848519386,-10.03679078290256,-1.0210512190410508,-3.0,0.02093041642829081,11.0,-1.9958091206223267,0.00016031878995323665,-1.3371585683593004,0.000208207029437391,-1.6556122994770182,0.0001478430924039697,-1.4837620425523042,0.0017094604874509,-1.8878682270914549,0.0034776286832106,-1.8878682270914555,1.8019877432959116e-05,-2.17555029954294,0.00021616368622206952,-2.29333333520152,9.044114679052404e-05,-0.9387876723948608,0.1979043958589484,-1.539561532825548,0.0013371887816319,-1.9748796040803456,2.7998764241310312e-08,-1.1146783388573456,0.0072474381473555
Lubbock,4,0,1.4325340470850043,,12.0,0.8903742903712821,2.8504906143321733,3.560974492131386,0.7485658262620021,3.0,0.04016244149980015,12.0,0.6691882519779709,0.0001618656996195659,0.6739829254948667,7.607054260763257e-19,0.5365445702251738,6.232804170048558e-09,0.8606881844908739,6.5837286326867975e-34,0.8542241864552307,5.94756281649652e-17,0.5378172517793733,0.0024110026238203,0.8634198630251763,1.008992035418932e-18,0.8646358158697136,1.7084392957899688e-16,0.7066575921085698,3.4885349718182876e-14,0.7725108506551874,4.138391360714075e-39,0.8807244352956158,9.386169108798957e-44,1.4325340470850043,3.6901695380889257e-08
Mesa,1,0,0.4520613400995955,,12.0,-0.4520613400995955,-0.9033760108496083,-1.5874041587981467,-0.5690897537044486,-1.0,-0.01488331090675668,6.0,-0.2058493038096595,0.1279312769399158,-0.2317007263420186,0.156230169660746,-0.1440790734166521,0.1850940478520972,-0.3225690703211888,0.00014688965649056477,0.160745367243976,0.3380308190383692,-0.1599232042040652,0.3161622262367622,-0.1260174576338121,0.0310692634916011,-0.2614434192730384,0.034783707420017,-0.2357557745869802,0.0201440281922138,-0.3827875340071781,0.0014270435578868,-0.1293386331975425,0.1292879940100986,-0.4520613400995955,0.0068924471116755
Miami,1,1,9.1254962342604,assign_nearest (r=+0.49),8.0,-9.1254962342604,-17.672519540723727,-31.543719532351044,-0.38977109259777676,2.0,-0.05141856530954497,12.0,-0.0810076792817573,0.0,-9.125496234255596,0.0,0.0860464053814154,0.0,-9.125496234254827,0.0,0.2867171008435031,0.0,0.2867171008435342,0.0,0.2867171008435346,0.0,-9.1254962342604,0.0,-9.125496234256682,0.0,-9.125496234254811,0.0,-9.125496234254816,0.0,-9.125496234254816,0.0
Milwaukee,4,0,3.5307346016422145,,9.0,-3.5307346016422145,-18.097210929674585,-18.0754196519404,-1.001205519813551,1.0,0.0230496465370344,12.0,-3.2287819154849604,6.086704580803627e-11,-3.18052582561595,1.2107465138613805e-18,-2.620912220273623,1.7320158892703977e-08,-2.9071212088360943,3.3669695033471982e-18,-3.4049790919965144,5.061659203037463e-07,-2.75489066746744,5.136164441464928e-09,-3.265677573351418,5.224970858633231e-09,-3.17157738247979,4.74428259586668e-05,-3.5307346016422145,3.654089621513296e-11,-2.837631323889552,1.3226383716926888e-07,-2.4321671758706804,6.113296766536373e-07,-2.837631594706745,4.4484798582888025e-08
Minneapolis,2,0,0.5059744969574178,,5.0,-0.5059744969574178,-0.7900950825434963,-1.178357443341159,-0.6705048765155303,-1.0,-0.02819247336908204,6.0,0.0111305735762805,0.9412813177988896,-0.0771620334891537,0.5692913056165485,0.3831796847673874,0.0147329164637092,-0.2749877600592491,0.0197801562890529,-0.5059744969574178,0.0288887425903193,-0.3262810503813436,0.0267274348561438,-0.1740118594638725,0.0480311779499587,0.1051595234205144,0.6077260769012887,-0.0874714031612556,0.3507240332923474,-0.3873169613457587,0.0989767159946129,-0.4085191406643115,0.0278040383877526,-0.2261976021264752,0.5092839547175603
Miramar,4,0,0.5448278736345856,,11.0,0.5448278736345856,-0.02457943886756117,1.5171484041636676,-0.016201066816560923,-1.0,0.03329164472673713,3.0,-0.0717605343322176,0.671610844717117,-0.2312332450105408,0.0274096115733884,0.1587808521145786,0.464571875406281,0.3371885088106593,0.1383288582389902,0.0350635259876704,0.8427639326448506,-0.2526185464377111,0.2423377064675894,0.2144066900860837,0.5362407691266944,0.196521179467886,0.648456849775852,0.1965211793138922,0.5303716243162133,0.3506718591414054,0.00011341553162941236,0.5448278736345856,2.253700024124356e-07,0.0141996225198147,0.6400939253449061
Nashville,4,0,0.4588152749934268,,12.0,0.4588152749934268,-0.2129961704435057,0.9661399882531284,-0.22046075369250434,1.0,0.039743052500102564,4.0,-0.2095942671474077,0.0963559701012877,-0.1006100621613824,0.3658782410517086,-0.0590773156064096,0.4880318018930927,0.1525547170345173,0.0240212136850345,0.038505945865922,0.6547823711968277,-0.0347751884287453,0.7952665376939813,-0.0366407981763656,0.6951104989298593,0.1195462413883342,0.376961837756381,0.056516662779705,0.5896769965107524,0.1886060940874409,0.0315725109228374,0.1792965131805871,0.0041777704599253,0.4588152749934268,0.000156828026569
New York,1,0,0.5961841172516763,,3.0,0.5961841172516763,2.8469150449787883,2.00374562880093,1.4207959250229267,-1.0,-0.03001852087561499,11.0,0.4376687596621625,1.786363961126984e-09,0.4922508344678676,1.824096598887393e-14,0.5961841172516763,6.710144740863378e-21,0.5180297831044305,3.3788485651703656e-22,0.3928259889176694,2.7116460092510715e-06,0.4099555615749822,1.1761118397629177e-07,0.3234381337185264,4.0619687584753374e-09,0.548062070203427,1.659072317645937e-17,0.4693005926863062,1.677441202740042e-11,0.5367557908814603,4.731445712505889e-21,0.2241545688366747,2.155704483987914e-05,-0.0979655275254643,0.1375460285829437
