scope,scope_label,denominator_package,scenario,indicator,heatwave_type,activity_type,curve_scope,partition_family,partition_name,denominator_id,denominator_label,denominator_months,scope_label_plot,heatwave_label_plot,indicator_label_plot,scenario_label_plot,period_plot,heatwave_days,pa_loss_fraction_percent_all_days,pa_loss_fraction_low_percent_all_days,pa_loss_fraction_high_percent_all_days,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,benefit_adjusted_asri_percent,benefit_adjusted_asri_low_percent,benefit_adjusted_asri_high_percent,exposure_clipped_share
sensitivity_city_specific,city-specific sensitivity,annual_all_days_primary,ssp245,cehwi,night,all,city,city_specific_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","City-specific
sensitivity",Nighttime,CEHWI,SSP2-4.5,2025-2050,475.96275946275944,0.8927802219498131,0.12130104231509437,1.70018955612937,6.153505169199381,1.6051175303208631,8.593018512356604,6.1468125825653015,0.5308430615963837,8.591932403187288,0.0003855353170421326
sensitivity_city_specific,city-specific sensitivity,annual_all_days_primary,ssp370,cehwi,night,all,city,city_specific_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","City-specific
sensitivity",Nighttime,CEHWI,SSP3-7.0,2025-2050,509.6251526251526,0.9257317352996607,0.12943871947504595,1.764890774574532,6.733008895245749,1.720163501765453,9.183895344262693,6.726352013770212,0.5591277335673842,9.183038022223865,0.00038971682807295273
sensitivity_city_specific,city-specific sensitivity,annual_all_days_primary,ssp585,cehwi,night,all,city,city_specific_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","City-specific
sensitivity",Nighttime,CEHWI,SSP5-8.5,2025-2050,528.514652014652,0.9829059034041112,0.1585971918146976,1.8949611451564505,6.883118027469805,2.147174237395322,9.507733465949862,6.871911067180897,0.7549904929747767,9.504989489090063,0.0005352334119456993
primary_national,national pooled,annual_all_days_primary,ssp245,exceeded_quantity,composite,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Compound,Exceeded cumulative intensity,SSP2-4.5,2025-2050,459.9760914760915,0.24230806984470668,3.272784286677122e-05,0.5564118983033772,0.24735766690615238,3.2959124104728556e-05,0.5829524434155221,0.24735766690615238,0.0,0.5829524434155221,0.0
primary_national,national pooled,annual_all_days_primary,ssp370,exceeded_quantity,composite,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Compound,Exceeded cumulative intensity,SSP3-7.0,2025-2050,486.63669438669444,0.25244035321926617,1.0230083573669764e-05,0.5814505747531752,0.2575071021038663,1.029168438520988e-05,0.6082615200660874,0.2575071021038663,0.0,0.6082615200660874,0.0
primary_national,national pooled,annual_all_days_primary,ssp585,exceeded_quantity,composite,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Compound,Exceeded cumulative intensity,SSP5-8.5,2025-2050,523.8638253638254,0.29852285653642396,3.2472688437130874e-05,0.6818569491870554,0.30513771949830504,3.268838388701926e-05,0.7162804140015082,0.30513771949830504,0.0,0.7162804140015082,0.0
primary_national,national pooled,annual_all_days_primary,ssp245,exceeded_quantity,day,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Daytime,Exceeded cumulative intensity,SSP2-4.5,2025-2050,807.7848232848233,0.30387211584161117,0.012779817436889412,0.6680751861345848,0.30953238483487416,0.01299953870290348,0.6915904050891345,0.30953238483487416,0.00124618368598895,0.6915904050891345,0.0
primary_national,national pooled,annual_all_days_primary,ssp370,exceeded_quantity,day,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Daytime,Exceeded cumulative intensity,SSP3-7.0,2025-2050,807.8409563409564,0.29784306709265507,0.012576466918231666,0.6566040246232295,0.30334855826201496,0.012799931679215303,0.6794619028928567,0.30334855826201496,0.0012449485373885226,0.6794619028928567,0.0
primary_national,national pooled,annual_all_days_primary,ssp585,exceeded_quantity,day,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Daytime,Exceeded cumulative intensity,SSP5-8.5,2025-2050,865.9209979209979,0.3439540936004905,0.018250828184379654,0.7476189326067545,0.35090577730330474,0.018585928991078606,0.7754508233618886,0.35090577730330474,0.0019837608747943917,0.7754508233618886,0.0
primary_national,national pooled,annual_all_days_primary,ssp245,exceeded_quantity,night,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Nighttime,Exceeded cumulative intensity,SSP2-4.5,2025-2050,405.2448024948025,0.01947317695115452,0.0,0.13355128791848647,0.019532217933809416,0.0,0.13543868805037287,0.019532217933809416,0.0,0.13543868805037287,0.0
