"model_id","city","activity","row_component","col_component","covariance"
"Mesa__all","Mesa","all",1,1,1.45314920413612
"Mesa__all","Mesa","all",2,1,-0.475462812888157
"Mesa__all","Mesa","all",3,1,-1.16010849093464
"Mesa__all","Mesa","all",1,2,-0.475462812888157
"Mesa__all","Mesa","all",2,2,0.390232280776768
"Mesa__all","Mesa","all",3,2,0.647773300912731
"Mesa__all","Mesa","all",1,3,-1.16010849093464
"Mesa__all","Mesa","all",2,3,0.647773300912731
"Mesa__all","Mesa","all",3,3,1.50413586905793
"Miami__all","Miami","all",1,1,1097.602112708
"Miami__all","Miami","all",2,1,-3659.88458395819
"Miami__all","Miami","all",3,1,-5573.91070249029
"Miami__all","Miami","all",1,2,-3659.88458395819
"Miami__all","Miami","all",2,2,27393.9099842876
"Miami__all","Miami","all",3,2,41935.876990774
"Miami__all","Miami","all",1,3,-5573.91070249029
"Miami__all","Miami","all",2,3,41935.876990774
"Miami__all","Miami","all",3,3,64284.4598582933
"Milwaukee__all","Milwaukee","all",1,1,65.3414751158555
"Milwaukee__all","Milwaukee","all",2,1,-55.2238808314271
"Milwaukee__all","Milwaukee","all",3,1,-67.7143728044341
"Milwaukee__all","Milwaukee","all",1,2,-55.2238808314271
"Milwaukee__all","Milwaukee","all",2,2,71.6129958819692
"Milwaukee__all","Milwaukee","all",3,2,100.51796451015
"Milwaukee__all","Milwaukee","all",1,3,-67.7143728044341
"Milwaukee__all","Milwaukee","all",2,3,100.51796451015
"Milwaukee__all","Milwaukee","all",3,3,152.213746425735
"Minneapolis__all","Minneapolis","all",1,1,1874.75543474568
"Minneapolis__all","Minneapolis","all",2,1,-1433.63755405132
"Minneapolis__all","Minneapolis","all",3,1,-339.652577202946
"Minneapolis__all","Minneapolis","all",1,2,-1433.63755405132
"Minneapolis__all","Minneapolis","all",2,2,1513.66727595526
"Minneapolis__all","Minneapolis","all",3,2,730.042664924569
"Minneapolis__all","Minneapolis","all",1,3,-339.652577202946
"Minneapolis__all","Minneapolis","all",2,3,730.042664924569
"Minneapolis__all","Minneapolis","all",3,3,593.535872364668
"Miramar__all","Miramar","all",1,1,18.67740061847
"Miramar__all","Miramar","all",2,1,-6.0083630654759
"Miramar__all","Miramar","all",3,1,-13.4749469929068
"Miramar__all","Miramar","all",1,2,-6.0083630654759
"Miramar__all","Miramar","all",2,2,2.95837162844305
"Miramar__all","Miramar","all",3,2,5.34793323514568
"Miramar__all","Miramar","all",1,3,-13.4749469929068
"Miramar__all","Miramar","all",2,3,5.34793323514568
"Miramar__all","Miramar","all",3,3,13.4116182401569
"Nashville__all","Nashville","all",1,1,4.36045480407503
"Nashville__all","Nashville","all",2,1,-2.60778380636874
"Nashville__all","Nashville","all",3,1,-6.01081752060985
"Nashville__all","Nashville","all",1,2,-2.60778380636874
"Nashville__all","Nashville","all",2,2,5.79242766784704
"Nashville__all","Nashville","all",3,2,10.8087732729519
"Nashville__all","Nashville","all",1,3,-6.01081752060985
"Nashville__all","Nashville","all",2,3,10.8087732729519
"Nashville__all","Nashville","all",3,3,20.6780397817419
"New_York__all","New_York","all",1,1,0.299157741918206
"New_York__all","New_York","all",2,1,-0.256343685584416
"New_York__all","New_York","all",3,1,-0.309427673343365
"New_York__all","New_York","all",1,2,-0.256343685584416
"New_York__all","New_York","all",2,2,0.271410491213674
"New_York__all","New_York","all",3,2,0.356323558725281
"New_York__all","New_York","all",1,3,-0.309427673343365
"New_York__all","New_York","all",2,3,0.356323558725281
"New_York__all","New_York","all",3,3,0.537168587517267
"Newark__all","Newark","all",1,1,768.284799447215
"Newark__all","Newark","all",2,1,-1739.02634112022
"Newark__all","Newark","all",3,1,-2302.79212748908
"Newark__all","Newark","all",1,2,-1739.02634112022
"Newark__all","Newark","all",2,2,4192.4777870441
"Newark__all","Newark","all",3,2,5619.62595775576
"Newark__all","Newark","all",1,3,-2302.79212748908
"Newark__all","Newark","all",2,3,5619.62595775576
"Newark__all","Newark","all",3,3,7587.0598031132
"Oklahoma_City__all","Oklahoma_City","all",1,1,4.32942966074289
"Oklahoma_City__all","Oklahoma_City","all",2,1,-36.7531311340299
"Oklahoma_City__all","Oklahoma_City","all",3,1,-63.900740088111
"Oklahoma_City__all","Oklahoma_City","all",1,2,-36.7531311340299
"Oklahoma_City__all","Oklahoma_City","all",2,2,483.654852630037
"Oklahoma_City__all","Oklahoma_City","all",3,2,833.385610720261
"Oklahoma_City__all","Oklahoma_City","all",1,3,-63.900740088111
"Oklahoma_City__all","Oklahoma_City","all",2,3,833.385610720261
"Oklahoma_City__all","Oklahoma_City","all",3,3,1436.2732255957
"Orlando__all","Orlando","all",1,1,2.42308302112963
"Orlando__all","Orlando","all",2,1,-5.15590051903711
"Orlando__all","Orlando","all",3,1,-8.52181673142434
"Orlando__all","Orlando","all",1,2,-5.15590051903711
"Orlando__all","Orlando","all",2,2,13.2948721538776
"Orlando__all","Orlando","all",3,2,22.32395855861
"Orlando__all","Orlando","all",1,3,-8.52181673142435
"Orlando__all","Orlando","all",2,3,22.32395855861
"Orlando__all","Orlando","all",3,3,37.8135361250826
"Overland_Park__all","Overland_Park","all",1,1,3.19359568199771
"Overland_Park__all","Overland_Park","all",2,1,-19.9836720501306
"Overland_Park__all","Overland_Park","all",3,1,-36.5757423184399
"Overland_Park__all","Overland_Park","all",1,2,-19.9836720501306
"Overland_Park__all","Overland_Park","all",2,2,158.786596295595
"Overland_Park__all","Overland_Park","all",3,2,288.683018374715
"Overland_Park__all","Overland_Park","all",1,3,-36.5757423184399
"Overland_Park__all","Overland_Park","all",2,3,288.683018374715
"Overland_Park__all","Overland_Park","all",3,3,525.032806462693
"Palm_Bay__all","Palm_Bay","all",1,1,183.309883675116
"Palm_Bay__all","Palm_Bay","all",2,1,-79.0647932092889
"Palm_Bay__all","Palm_Bay","all",3,1,-158.535278180332
"Palm_Bay__all","Palm_Bay","all",1,2,-79.0647932092889
"Palm_Bay__all","Palm_Bay","all",2,2,36.2203320840508
"Palm_Bay__all","Palm_Bay","all",3,2,70.1674968354973
"Palm_Bay__all","Palm_Bay","all",1,3,-158.535278180332
"Palm_Bay__all","Palm_Bay","all",2,3,70.1674968354973
"Palm_Bay__all","Palm_Bay","all",3,3,141.926565048006
"Philadelphia__all","Philadelphia","all",1,1,1.13836299174198
"Philadelphia__all","Philadelphia","all",2,1,-1.32163790556828
"Philadelphia__all","Philadelphia","all",3,1,-2.10690944167738
"Philadelphia__all","Philadelphia","all",1,2,-1.32163790556828
"Philadelphia__all","Philadelphia","all",2,2,4.63571142345719
"Philadelphia__all","Philadelphia","all",3,2,7.81731523083897
"Philadelphia__all","Philadelphia","all",1,3,-2.10690944167738
"Philadelphia__all","Philadelphia","all",2,3,7.81731523083897
"Philadelphia__all","Philadelphia","all",3,3,13.297571265546
"Phoenix__all","Phoenix","all",1,1,0.12895315869191
"Phoenix__all","Phoenix","all",2,1,-0.0469946200040848
"Phoenix__all","Phoenix","all",3,1,-0.105114473077156
"Phoenix__all","Phoenix","all",1,2,-0.0469946200040848
"Phoenix__all","Phoenix","all",2,2,0.0395695784650191
"Phoenix__all","Phoenix","all",3,2,0.0661075583044429
"Phoenix__all","Phoenix","all",1,3,-0.105114473077156
"Phoenix__all","Phoenix","all",2,3,0.0661075583044429
"Phoenix__all","Phoenix","all",3,3,0.149617573913326
"Raleigh__all","Raleigh","all",1,1,0.898504485416015
"Raleigh__all","Raleigh","all",2,1,-1.71481081552358
"Raleigh__all","Raleigh","all",3,1,-3.19121202240439
"Raleigh__all","Raleigh","all",1,2,-1.71481081552358
"Raleigh__all","Raleigh","all",2,2,10.3467265065898
"Raleigh__all","Raleigh","all",3,2,18.5945999304409
"Raleigh__all","Raleigh","all",1,3,-3.19121202240439
"Raleigh__all","Raleigh","all",2,3,18.5945999304409
"Raleigh__all","Raleigh","all",3,3,33.5128997338933
"Richmond__all","Richmond","all",1,1,1.47976465217145
"Richmond__all","Richmond","all",2,1,-1.46478087198874
"Richmond__all","Richmond","all",3,1,-1.91279338713306
"Richmond__all","Richmond","all",1,2,-1.46478087198874
"Richmond__all","Richmond","all",2,2,2.807875192371
"Richmond__all","Richmond","all",3,2,3.99555306621689
"Richmond__all","Richmond","all",1,3,-1.91279338713306
"Richmond__all","Richmond","all",2,3,3.99555306621689
"Richmond__all","Richmond","all",3,3,5.98875853227998
"Riverside__all","Riverside","all",1,1,41.4555896139177
"Riverside__all","Riverside","all",2,1,-58.6714334097726
"Riverside__all","Riverside","all",3,1,-107.615135958689
"Riverside__all","Riverside","all",1,2,-58.6714334097726
"Riverside__all","Riverside","all",2,2,473.647871214844
"Riverside__all","Riverside","all",3,2,832.173788867956
"Riverside__all","Riverside","all",1,3,-107.615135958689
"Riverside__all","Riverside","all",2,3,832.173788867956
"Riverside__all","Riverside","all",3,3,1463.70015958646
"Sacramento__all","Sacramento","all",1,1,29.342727800931
"Sacramento__all","Sacramento","all",2,1,-31.2645959705006
"Sacramento__all","Sacramento","all",3,1,-27.2219011847101
"Sacramento__all","Sacramento","all",1,2,-31.2645959705006
"Sacramento__all","Sacramento","all",2,2,42.7357057249258
"Sacramento__all","Sacramento","all",3,2,43.9919497442677
"Sacramento__all","Sacramento","all",1,3,-27.2219011847101
"Sacramento__all","Sacramento","all",2,3,43.9919497442677
"Sacramento__all","Sacramento","all",3,3,50.0364481631296
"San_Antonio__all","San_Antonio","all",1,1,0.251188249970991
"San_Antonio__all","San_Antonio","all",2,1,-0.320847717750935
"San_Antonio__all","San_Antonio","all",3,1,-0.624155675524049
"San_Antonio__all","San_Antonio","all",1,2,-0.320847717750935
"San_Antonio__all","San_Antonio","all",2,2,0.459274909551662
"San_Antonio__all","San_Antonio","all",3,2,0.87806247499262
"San_Antonio__all","San_Antonio","all",1,3,-0.624155675524049
"San_Antonio__all","San_Antonio","all",2,3,0.87806247499262
"San_Antonio__all","San_Antonio","all",3,3,1.72919316415887
"San_Bernardino__all","San_Bernardino","all",1,1,46.3452144904231
"San_Bernardino__all","San_Bernardino","all",2,1,-9.31463773188068
"San_Bernardino__all","San_Bernardino","all",3,1,-15.0668591487595
"San_Bernardino__all","San_Bernardino","all",1,2,-9.31463773188068
"San_Bernardino__all","San_Bernardino","all",2,2,5.00635147805031
"San_Bernardino__all","San_Bernardino","all",3,2,6.79031274382163
"San_Bernardino__all","San_Bernardino","all",1,3,-15.0668591487595
