scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label,dtw4lag12_cluster,dtw4lag12_cluster_label,dtw4lag12_cluster_color
ssp370,Clearwater,cehwi,composite,all,Clearwater,2025-2050,47450.0,6099.0,0.190427889851305,0.0056615637844228675,0.3696078120789038,0.19350475588675586,0.005664840019662987,0.38134467175384945,SSP3-7.0,CEHWI,Compound,4,C4,#1F4F8C
ssp370,Cleveland,cehwi,composite,all,Cleveland,2025-2050,104390.0,3434.0,0.09295711452629052,0.0028992916359312504,0.17949754052732242,0.09490379355626465,0.0029014706341195014,0.18690611647840982,SSP3-7.0,CEHWI,Compound,3,C3,#5EA4CE
ssp370,Columbia,cehwi,composite,all,Columbia,2025-2050,104390.0,16437.0,0.5039886233107876,0.016487563152594482,0.9676113794372281,0.5175700126951769,0.016504267258474672,1.0191137424034646,SSP3-7.0,CEHWI,Compound,3,C3,#5EA4CE
ssp370,Columbus,cehwi,composite,all,Columbus,2025-2050,237250.0,5992.0,0.07546535463160084,0.002370974246976875,0.14562242227402983,0.07709202736904255,0.002372808373880354,0.1518112463642048,SSP3-7.0,CEHWI,Compound,2,C2,#E39D00
ssp370,Corpus_Christi,cehwi,composite,all,Corpus Christi,2025-2050,18980.0,2916.0,0.20710375728463734,0.005929774197855314,0.4031934738954062,0.20988009312788206,0.005932414290927449,0.4138277719648374,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
ssp370,Dallas,cehwi,composite,all,Dallas,2025-2050,275210.0,49823.0,0.7800805709117927,0.02228119864570776,1.5230411700312811,0.8060267282788237,0.022308265949786535,1.6266587379679383,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
ssp370,Detroit,cehwi,composite,all,Detroit,2025-2050,132860.0,6174.0,0.1370716070658751,0.004318090550269742,0.2643797014464114,0.1401118355323112,0.0043215601484874406,0.27594336367635897,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
ssp370,Fort_Worth,cehwi,composite,all,Fort Worth,2025-2050,208780.0,37035.0,0.75636461054351,0.02175628636487951,1.4759831011152096,0.7815240290211066,0.02178280105475973,1.5765174178594832,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
ssp370,Fresno,cehwi,composite,all,Fresno,2025-2050,113880.0,12790.0,0.3830998670015368,0.012265858574508582,0.7367481209609418,0.39379722674029355,0.012278640366564075,0.7776029928848112,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
ssp370,Gilbert,cehwi,composite,all,Gilbert,2025-2050,37960.0,4703.0,0.3115835047488106,0.00993525583524788,0.6007341615609215,0.31855153519342944,0.00994366951927057,0.6271814551193814,SSP3-7.0,CEHWI,Compound,4,C4,#1F4F8C
ssp370,Henderson,cehwi,composite,all,Henderson,2025-2050,113880.0,12379.0,0.33532899618559575,0.011266158461463324,0.6433497289830965,0.3443332598227807,0.011277917401568307,0.6773930224517793,SSP3-7.0,CEHWI,Compound,2,C2,#E39D00
ssp370,Houston,cehwi,composite,all,Houston,2025-2050,531440.0,80639.0,0.42003508660541333,0.013039331167332796,0.8128523589868784,0.4302841500918624,0.013051051080209571,0.8524299109453484,SSP3-7.0,CEHWI,Compound,1,C1,#B83A34
