scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label
ssp245,Columbia,cehwi,night,all,Columbia,2025-2050,104390.0,14592.0,0.0,0.0,0.0661935508875258,0.0,0.0,0.06650748931212705,SSP2-4.5,CEHWI,Nighttime
ssp245,Columbia,exceeded_quantity,composite,all,Columbia,2025-2050,104390.0,14124.0,0.4002816812408412,0.0,0.9212845793259021,0.4083702933040501,0.0,0.9641625325437038,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Columbia,exceeded_quantity,day,all,Columbia,2025-2050,104390.0,11009.0,0.13801610905572553,0.0005593628029624185,0.3228028878798206,0.139563018143845,0.0005645789084222911,0.33078439387720043,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Columbia,exceeded_quantity,night,all,Columbia,2025-2050,104390.0,14592.0,0.03900908829118173,0.0,0.26183248477374205,0.039127859641780185,0.0,0.2658278642436023,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Columbus,cehwi,composite,all,Columbus,2025-2050,237250.0,6367.0,0.08493764328696117,0.00252200784855717,0.164562410248469,0.0869908678281236,0.0025241568777079207,0.17254173599531744,SSP2-4.5,CEHWI,Compound
ssp245,Columbus,cehwi,day,all,Columbus,2025-2050,237250.0,48131.0,0.30782740318891644,0.0024316556603339616,0.720083545480188,0.31263239720975805,0.0024464465766156863,0.744455094419503,SSP2-4.5,CEHWI,Daytime
ssp245,Columbus,cehwi,night,all,Columbus,2025-2050,237250.0,1644.0,0.0,0.0,0.0016975737139502181,0.0,0.0,0.0017019833379560375,SSP2-4.5,CEHWI,Nighttime
ssp245,Columbus,exceeded_quantity,composite,all,Columbus,2025-2050,237250.0,6367.0,0.1053139591007084,0.0,0.23998335617189542,0.1077216042438974,0.0,0.2527140053903827,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Columbus,exceeded_quantity,day,all,Columbus,2025-2050,237250.0,48131.0,0.42094754890363867,0.01639649364249381,0.9158027153922629,0.4290692530403333,0.016611781432266815,0.9500915645336665,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Columbus,exceeded_quantity,night,all,Columbus,2025-2050,237250.0,1644.0,0.0012201804106095383,0.0,0.009120777466157014,0.0012222997663894584,0.0,0.009223188419284096,SSP2-4.5,Exceeded cumulative intensity,Nighttime
